"","Agent","Cond","AgentID","Mean_CR","Mean_conf"
"467","GPT","OP",32,0.9,93.5
"468","GPT","OP",33,0.7,94.5
"469","GPT","OP",34,0.75,92
"470","GPT","OP",35,0.75,95.25
"471","GPT","OP",36,0.8,94.5
"472","GPT","OP",37,0.8,93.75
"473","GPT","OP",38,0.75,94
"474","GPT","OP",39,0.75,92.5
"475","GPT","OP",40,0.7,92
"476","GPT","OP",41,0.75,94.25
"477","GPT","OP",42,0.7,93.5
"478","GPT","OP",43,0.75,93.25
"479","GPT","OP",44,0.8,92.75
"480","GPT","OP",45,0.8,93
"481","GPT","OP",46,0.8,93
"482","GPT","OP",47,0.8,94.25
"483","GPT","OP",48,0.8,93.75
"484","GPT","OP",49,0.8,94.5
"485","GPT","OP",50,0.7,90.5
"486","GPT","OP",51,0.8,92.75
"487","GPT","OP",52,0.9,93.5
"488","GPT","OP",53,0.75,93
"489","GPT","OP",54,0.8,92.75
"490","GPT","OP",55,0.75,93.25
"491","GPT","OP",56,0.7,92.75
"492","GPT","OP",57,0.8,92.75
"493","GPT","OP",58,0.8,93
"494","GPT","OP",59,0.8,94.25
"495","GPT","OP",60,0.8,93
"496","GPT","OP",61,0.8,93
"497","GPT","OP",62,0.75,91.75
"498","GPT","OP",63,0.8,93.5
"499","GPT","OP",64,0.75,93.75
"500","GPT","OP",65,0.85,92.5
"501","GPT","OP",66,0.75,94.7
"502","GPT","OP",67,0.75,94.15
"503","GPT","OP",68,0.8,94.75
"504","GPT","OP",69,0.8,94.5
"505","GPT","OP",70,0.85,96.75
"506","GPT","OP",71,0.7,93.5
"507","GPT","OP",72,0.85,93.5
"508","GPT","OP",73,0.85,92.45
"509","GPT","OP",74,0.85,94
"510","GPT","OP",75,0.85,93.5
"511","GPT","OP",76,0.8,92
"512","GPT","OP",77,0.75,92.5
"513","GPT","OP",78,0.7,93.5
"514","GPT","OP",79,0.85,92.75
"515","GPT","OP",80,0.8,92.75
"516","GPT","OP",81,0.75,93.25
"517","GPT","OP",82,0.75,91
"518","GPT","OP",83,0.7,93.75
"519","GPT","OP",84,0.75,93.75
"520","GPT","OP",85,0.8,93
"521","GPT","OP",86,0.75,96.25
"522","GPT","OP",87,0.8,94.5
